Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,BAT_BAT-HLD-005-THM,1,BAT-HLD-005-THM,
BAT2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,+BAT-,
"C1, C3",C_0805_2012Metric,2,100n,
C2,C_0805_2012Metric,1,10u,
"C4, C7",C_0805_2012Metric,2,4u7,
"C5, C6",C_0805_2012Metric,2,1u,
D1,DIOM5226X240N,1,SS34,
J3,PinHeader_1x02_P2.54mm_Vertical,1,+VOUT-,
J4,PinHeader_1x02_P2.54mm_Vertical,1,-SL_EN+,
J5,PinHeader_1x02_P2.54mm_Vertical,1,-SL_OUT+,
LED1,LED_0805_2012Metric,1,DONE,
LED2,LED_0805_2012Metric,1,CHRG,
P1,HRO_TYPE-C-31-M-12,1,USB_C_Plug,
Q1,SOT95P280X145-6N,1,FS8205A,
"Q2, Q3",SOT91P240X110-3N,2,DMP1045U,
"R1, R2, R5",R_0805_2012Metric,3,1k,
R4,R_0805_2012Metric,1,100R,
"R6, R7",R_0805_2012Metric,2,22R,
"R8, R9",R_0805_2012Metric,2,10k,
R_Prog,R_0805_2012Metric,1,35k,
U1,SOP127P600X175-9N,1,TP4056,
U2,SOT23-6,1,DW01A,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
USB1,PinSocket_1x02_P2.54mm_Vertical,1,+USB-,
VIN1,PinHeader_1x02_P2.54mm_Vertical,1,+VIN-,
