Designator,Mid X,Mid Y,Rotation,Layer
C1,102.2096,-106.934,-90.0,top
C10,127.9652,-96.6064,-90.0,top
C11,131.3688,-91.8972,-90.0,top
C12,115.0112,-111.2031,-90.0,top
C13,117.7036,-111.1523,90.0,top
C14,112.5728,-106.7816,-90.0,top
C15,112.1664,-111.252,-90.0,top
C2,105.918,-108.0516,0.0,top
C3,106.7816,-96.4184,90.0,top
C4,104.4956,-91.2368,90.0,top
C5,110.5916,-91.2368,90.0,top
C6,110.6424,-96.4692,-90.0,top
C7,124.7648,-96.6064,-90.0,top
C8,123.444,-91.8972,90.0,top
C9,127.9144,-91.8972,-90.0,top
D1,135.0264,-96.7232,-90.0,top
FL1,104.902,-112.222347,90.0,top
IC1,113.4364,-101.9575,180.0,top
J1,104.902,-117.7036,-90.0,top
J2,107.188,-86.0836,90.0,top
J3,127.9144,-86.744,90.0,top
J4,132.4356,-121.5644,-90.0,top
L1,105.918,-105.7148,180.0,top
L2,114.7795,-96.4184,90.0,top
L3,131.4196,-96.6724,-90.0,top
R1,107.188,-91.2368,-90.0,top
R10,133.604,-113.7412,0.0,top
R11,121.9708,-116.6368,90.0,top
R13,119.2784,-116.6368,-90.0,top
R14,123.1392,-106.8324,-90.0,top
R15,118.618,-101.9556,-90.0,top
R16,116.1796,-106.7816,90.0,top
R17,119.7356,-106.8324,-90.0,top
R18,116.7892,-116.6368,-90.0,top
R19,114.3,-116.586,90.0,top
R2,124.46,-116.6387,90.0,top
R3,127.1016,-116.5879,90.0,top
R4,129.8448,-116.5879,90.0,top
R5,123.4948,-111.2012,90.0,top
R6,120.4468,-111.1523,-90.0,top
R7,133.6548,-106.3244,0.0,top
R8,133.7056,-109.6772,180.0,top
R9,127.4572,-101.7524,0.0,top
U1,105.8164,-101.2444,90.0,top
U2,119.634,-96.4692,0.0,top
U3,133.1976,-101.854,180.0,top
U4,127.6096,-106.5276,180.0,top
